iso3,year,basic_water
ECA,2007,92.36435767756403
ECA,2008,92.51841230943263
ECA,2009,92.67619008420058
ECA,2010,92.83923598569542
ECA,2011,93.00419718603307
ECA,2012,93.16841562277126
ECA,2013,93.3999965040642
ECA,2014,93.5771237253465
ECA,2015,93.85912438254839
ECA,2016,94.13571789053894
ECA,2017,94.4151202305829
ECA,2018,94.69821760850039
ECA,2019,94.98950117676735
ECA,2020,95.25509786047125
ECA,2021,95.47395420163674
ECA,2022,95.72353080868996
ECA,2023,95.89050515999136
ECA,2024,95.99826344457718
ECS,2000,96.80101528867205
ECS,2001,96.85370378934496
ECS,2002,96.9241809652548
ECS,2003,96.9961139761272
ECS,2004,97.04291303762227
ECS,2005,97.14470324314713
ECS,2006,97.19310648972089
ECS,2007,97.24569655594823
ECS,2008,97.293791553684855
ECS,2009,97.34267044478447
ECS,2010,97.36926426237183
ECS,2011,97.39241682555055
ECS,2012,97.4188400705181
ECS,2013,97.46076693793606
ECS,2014,97.4902707583444
ECS,2015,97.54486343317987
ECS,2016,97.59896074986767
ECS,2017,97.65375513028793
ECS,2018,97.7113310646715
ECS,2019,97.77096148557406
ECS,2020,97.8277910441632
ECS,2021,97.87408839678831
ECS,2022,97.9353640570143
ECS,2023,97.97661392663788
ECS,2024,97.99254100210383
ECU,2000,84.7569577363027
ECU,2001,85.3327219287917
ECU,2002,85.8681168812422
ECU,2003,86.3770590659093
ECU,2004,86.7913580761449
ECU,2005,87.1657190162046
ECU,2006,87.4804800870579
ECU,2007,87.792208365322
ECU,2008,88.1005318614763
ECU,2009,88.4054817977882
ECU,2010,88.7072879977884
ECU,2011,88.9995700135052
ECU,2012,89.2843795348701
ECU,2013,89.5662908642962
ECU,2014,89.8451330944318
ECU,2015,90.1212871773867
ECU,2016,90.3944152289936
ECU,2017,90.6647128570391
ECU,2018,90.9348761697738
ECU,2019,91.2046901615957
ECU,2020,91.4742997917839
ECU,2021,91.6679688457759
ECU,2022,91.7264833659447
ECU,2023,91.8598075666082
ECU,2024,92.0708709697554
EGY,2000,98.9933618838288
EGY,2001,98.9226105742463
EGY,2002,98.8519309322285
EGY,2003,98.7813193917479
EGY,2004,98.7107692619596
EGY,2005,98.6402827769204
EGY,2006,98.5698644772866
EGY,2007,98.4988899601912
EGY,2008,98.4275413352809
EGY,2009,98.3562103479717
EGY,2010,98.2848591599105
